[(2365, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2369, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2373, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2377, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2381, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2385, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2389, 2894), (2615, 2447), 'Turn Right', '216_155_166']
[(2393, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2397, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2401, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2405, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2409, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2413, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2417, 2893), (2615, 2447), 'Turn Right', '216_155_166']
[(2421, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2425, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2429, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2433, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2437, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2441, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2445, 2892), (2615, 2447), 'Turn Right', '216_155_166']
[(2449, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2453, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2457, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2461, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2465, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2469, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2473, 2891), (2615, 2447), 'Turn Right', '216_155_166']
[(2477, 2890), (2615, 2447), 'Turn Right', '216_155_166']
[(2481, 2890), (2615, 2447), 'Turn Right', '216_155_166']
[(2485, 2890), (2615, 2447), 'Turn Right', '216_155_166']
[(2489, 2890), (2615, 2447), 'Turn Right', '216_155_166']
[(2563, 2335), (2426, 2222), 'Turn Right', '175_179_100']
[(2564, 2337), (2426, 2222), 'Turn Right', '175_179_100']
[(2565, 2338), (2426, 2222), 'Turn Right', '175_179_100']
