[(547, 1366), (3873, 1344), 'Forward', '45_45_196']
[(547, 1367), (3873, 1344), 'Forward', '45_45_196']
[(547, 1370), (3873, 1344), 'Forward', '45_45_196']
[(547, 1371), (3873, 1344), 'Forward', '45_45_196']
[(547, 1374), (3873, 1344), 'Forward', '45_45_196']
[(547, 1375), (3873, 1344), 'Forward', '45_45_196']
[(547, 1378), (3873, 1344), 'Forward', '45_45_196']
[(547, 1379), (3873, 1344), 'Forward', '45_45_196']
[(547, 1382), (3873, 1344), 'Forward', '45_45_196']
[(547, 1383), (3873, 1344), 'Forward', '45_45_196']
[(547, 1386), (3873, 1344), 'Forward', '45_45_196']
[(547, 1387), (3873, 1344), 'Forward', '45_45_196']
[(547, 1390), (3873, 1344), 'Forward', '45_45_196']
[(547, 1391), (3873, 1344), 'Forward', '45_45_196']
[(547, 1395), (3873, 1344), 'Forward', '45_45_196']
[(547, 1399), (3873, 1344), 'Forward', '45_45_196']
[(547, 1403), (3873, 1344), 'Forward', '45_45_196']
[(547, 1407), (3873, 1344), 'Forward', '45_45_196']
[(548, 635), (3873, 1344), 'Forward', '45_45_196']
[(548, 640), (3873, 1344), 'Forward', '45_45_196']
[(548, 1400), (3873, 1344), 'Forward', '45_45_196']
[(548, 1405), (3873, 1344), 'Forward', '45_45_196']
[(549, 630), (3873, 1344), 'Forward', '45_45_196']
[(550, 626), (3873, 1344), 'Forward', '45_45_196']
[(551, 621), (3873, 1344), 'Forward', '45_45_196']
[(553, 616), (3873, 1344), 'Forward', '45_45_196']
[(554, 612), (3873, 1344), 'Forward', '45_45_196']
[(556, 607), (3873, 1344), 'Forward', '45_45_196']
[(558, 603), (3873, 1344), 'Forward', '45_45_196']
[(560, 599), (3873, 1344), 'Forward', '45_45_196']
[(562, 594), (3873, 1344), 'Forward', '45_45_196']
[(565, 590), (3873, 1344), 'Forward', '45_45_196']
[(567, 586), (3873, 1344), 'Forward', '45_45_196']
[(570, 582), (3873, 1344), 'Forward', '45_45_196']
[(573, 578), (3873, 1344), 'Forward', '45_45_196']
[(576, 575), (3873, 1344), 'Forward', '45_45_196']
[(579, 571), (3873, 1344), 'Forward', '45_45_196']
[(583, 568), (3873, 1344), 'Forward', '45_45_196']
[(587, 564), (3873, 1344), 'Forward', '45_45_196']
[(591, 561), (3873, 1344), 'Forward', '45_45_196']
[(595, 558), (3873, 1344), 'Forward', '45_45_196']
[(599, 555), (3873, 1344), 'Forward', '45_45_196']
[(603, 553), (3873, 1344), 'Forward', '45_45_196']
[(607, 551), (3873, 1344), 'Forward', '45_45_196']
[(612, 548), (3873, 1344), 'Forward', '45_45_196']
[(616, 546), (3873, 1344), 'Forward', '45_45_196']
[(621, 545), (3873, 1344), 'Forward', '45_45_196']
[(626, 543), (3873, 1344), 'Forward', '45_45_196']
[(631, 542), (3873, 1344), 'Forward', '45_45_196']
[(636, 541), (3873, 1344), 'Forward', '45_45_196']
[(640, 540), (3873, 1344), 'Forward', '45_45_196']
[(645, 540), (3873, 1344), 'Forward', '45_45_196']
[(650, 540), (3873, 1344), 'Forward', '45_45_196']
[(655, 540), (3873, 1344), 'Forward', '45_45_196']
[(659, 540), (3873, 1344), 'Forward', '45_45_196']
[(663, 540), (3873, 1344), 'Forward', '45_45_196']
[(667, 540), (3873, 1344), 'Forward', '45_45_196']
[(671, 540), (3873, 1344), 'Forward', '45_45_196']
[(675, 540), (3873, 1344), 'Forward', '45_45_196']
[(679, 540), (3873, 1344), 'Forward', '45_45_196']
[(683, 540), (3873, 1344), 'Forward', '45_45_196']
[(687, 540), (3873, 1344), 'Forward', '45_45_196']
[(691, 540), (3873, 1344), 'Forward', '45_45_196']
[(695, 540), (3873, 1344), 'Forward', '45_45_196']
[(699, 540), (3873, 1344), 'Forward', '45_45_196']
[(703, 540), (3873, 1344), 'Forward', '45_45_196']
[(707, 540), (3873, 1344), 'Forward', '45_45_196']
[(711, 540), (3873, 1344), 'Forward', '45_45_196']
[(715, 540), (3873, 1344), 'Forward', '45_45_196']
[(719, 540), (3873, 1344), 'Forward', '45_45_196']
[(723, 540), (3873, 1344), 'Forward', '45_45_196']
[(727, 540), (3873, 1344), 'Forward', '45_45_196']
[(731, 540), (3873, 1344), 'Forward', '45_45_196']
[(735, 540), (3873, 1344), 'Forward', '45_45_196']
[(739, 540), (3873, 1344), 'Forward', '45_45_196']
[(743, 540), (3873, 1344), 'Forward', '45_45_196']
[(747, 540), (3873, 1344), 'Forward', '45_45_196']
[(751, 540), (3873, 1344), 'Forward', '45_45_196']
[(755, 540), (3873, 1344), 'Forward', '45_45_196']
[(759, 540), (3873, 1344), 'Forward', '45_45_196']
[(763, 540), (3873, 1344), 'Forward', '45_45_196']
[(767, 540), (3873, 1344), 'Forward', '45_45_196']
[(771, 540), (3873, 1344), 'Forward', '45_45_196']
[(775, 540), (3873, 1344), 'Forward', '45_45_196']
[(779, 540), (3873, 1344), 'Forward', '45_45_196']
[(783, 540), (3873, 1344), 'Forward', '45_45_196']
[(787, 540), (3873, 1344), 'Forward', '45_45_196']
[(791, 540), (3873, 1344), 'Forward', '45_45_196']
[(795, 540), (3873, 1344), 'Forward', '45_45_196']
[(799, 540), (3873, 1344), 'Forward', '45_45_196']
[(803, 540), (3873, 1344), 'Forward', '45_45_196']
[(807, 540), (3873, 1344), 'Forward', '45_45_196']
[(811, 540), (3873, 1344), 'Forward', '45_45_196']
[(815, 540), (3873, 1344), 'Forward', '45_45_196']
[(819, 540), (3873, 1344), 'Forward', '45_45_196']
[(823, 540), (3873, 1344), 'Forward', '45_45_196']
[(827, 540), (3873, 1344), 'Forward', '45_45_196']
[(831, 540), (3873, 1344), 'Forward', '45_45_196']
[(835, 540), (3873, 1344), 'Forward', '45_45_196']
[(839, 540), (3873, 1344), 'Forward', '45_45_196']
[(843, 540), (3873, 1344), 'Forward', '45_45_196']
[(847, 540), (3873, 1344), 'Forward', '45_45_196']
[(851, 540), (3873, 1344), 'Forward', '45_45_196']
[(855, 540), (3873, 1344), 'Forward', '45_45_196']
[(859, 540), (3873, 1344), 'Forward', '45_45_196']
[(863, 540), (3873, 1344), 'Forward', '45_45_196']
[(867, 540), (3873, 1344), 'Forward', '45_45_196']
[(871, 540), (3873, 1344), 'Forward', '45_45_196']
[(875, 540), (3873, 1344), 'Forward', '45_45_196']
[(879, 540), (3873, 1344), 'Forward', '45_45_196']
[(883, 540), (3873, 1344), 'Forward', '45_45_196']
[(887, 540), (3873, 1344), 'Forward', '45_45_196']
[(891, 540), (3873, 1344), 'Forward', '45_45_196']
[(895, 540), (3873, 1344), 'Forward', '45_45_196']
[(899, 540), (3873, 1344), 'Forward', '45_45_196']
[(903, 540), (3873, 1344), 'Forward', '45_45_196']
[(907, 540), (3873, 1344), 'Forward', '45_45_196']
[(911, 540), (3873, 1344), 'Forward', '45_45_196']
[(915, 540), (3873, 1344), 'Forward', '45_45_196']
[(919, 540), (3873, 1344), 'Forward', '45_45_196']
[(923, 540), (3873, 1344), 'Forward', '45_45_196']
[(927, 540), (3873, 1344), 'Forward', '45_45_196']
[(931, 540), (3873, 1344), 'Forward', '45_45_196']
[(935, 540), (3873, 1344), 'Forward', '45_45_196']
[(939, 540), (3873, 1344), 'Forward', '45_45_196']
[(943, 540), (3873, 1344), 'Forward', '45_45_196']
[(947, 540), (3873, 1344), 'Forward', '45_45_196']
[(951, 540), (3873, 1344), 'Forward', '45_45_196']
[(955, 540), (3873, 1344), 'Forward', '45_45_196']
[(959, 540), (3873, 1344), 'Forward', '45_45_196']
[(963, 540), (3873, 1344), 'Forward', '45_45_196']
[(967, 540), (3873, 1344), 'Forward', '45_45_196']
[(971, 540), (3873, 1344), 'Forward', '45_45_196']
[(975, 540), (3873, 1344), 'Forward', '45_45_196']
[(979, 540), (3873, 1344), 'Forward', '45_45_196']
[(983, 540), (3873, 1344), 'Forward', '45_45_196']
[(987, 540), (3873, 1344), 'Forward', '45_45_196']
[(991, 540), (3873, 1344), 'Forward', '45_45_196']
[(995, 540), (3873, 1344), 'Forward', '45_45_196']
[(999, 540), (3873, 1344), 'Forward', '45_45_196']
[(1003, 540), (3873, 1344), 'Forward', '45_45_196']
[(1007, 540), (3873, 1344), 'Forward', '45_45_196']
[(1011, 540), (3873, 1344), 'Forward', '45_45_196']
[(1015, 540), (3873, 1344), 'Forward', '45_45_196']
[(1019, 540), (3873, 1344), 'Forward', '45_45_196']
[(1023, 540), (3873, 1344), 'Forward', '45_45_196']
[(1027, 540), (3873, 1344), 'Forward', '45_45_196']
[(1031, 540), (3873, 1344), 'Forward', '45_45_196']
[(1035, 540), (3873, 1344), 'Forward', '45_45_196']
[(1039, 540), (3873, 1344), 'Forward', '45_45_196']
[(1043, 539), (3873, 1344), 'Forward', '45_45_196']
[(1047, 539), (3873, 1344), 'Forward', '45_45_196']
