[(890, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(893, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(893, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(894, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(894, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(897, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(897, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(898, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(898, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(901, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(901, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(902, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(902, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(905, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(905, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(906, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(906, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(909, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(909, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(910, 3662), (642, 3167), 'Turn Left', '87_127_214']
[(910, 3662), (607, 3168), 'Turn Left', '87_127_214']
[(913, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(913, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(914, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(914, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(917, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(917, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(918, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(918, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(921, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(921, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(922, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(922, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(925, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(925, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(926, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(926, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(929, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(929, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(930, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(930, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(933, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(933, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(934, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(934, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(937, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(937, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(938, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(938, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(941, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(941, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(942, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(942, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(945, 2976), (621, 2360), 'Turn Left', '187_60_96']
